Rank,Company Name
273,L-3 Communications
274,HollyFrontier
275,Praxair
276,Universal Health Services
277,Discover Financial Services
278,Occidental Petroleum
279,United States Steel
280,Sempra Energy
281,Baxter International
282,W.W. Grainger
283,Autoliv
284,Norfolk Southern
285,Baker Hughes
286,Ally Financial
287,Sonic Automotive
288,Owens & Minor
289,Huntsman
290,Laboratory Corp. of America
291,Murphy USA
292,Advance Auto Parts
293,Fidelity National Financial
294,Air Products & Chemicals
295,Hormel Foods
296,Hertz Global Holdings
297,MGM Resorts International
298,Corning
299,Republic Services
300,Alcoa
301,Fidelity National Information Services
302,Pacific Life
303,SunTrust Banks
304,LKQ
305,BorgWarner
306,Ball
307,CST Brands
308,Public Service Enterprise Group
309,Eastman Chemical
310,eBay
311,Mohawk Industries
312,Oneok
313,Frontier Communications
314,Netflix
315,American Family Insurance Group
316,Thrivent Financial for Lutherans
317,Expedia
318,Lithia Motors
319,Avis Budget Group
320,Reliance Steel & Aluminum
321,GameStop
322,Tenneco
323,O’Reilly Automotive
324,Peter Kiewit Sons’
325,United Natural Foods
326,salesforce.com
327,Boston Scientific
328,Newmont Mining
329,Genworth Financial
330,Live Nation Entertainment
331,Veritiv
332,News Corp.
333,Crown Holdings
334,Global Partners
335,PVH
336,Level 3 Communications
337,Navistar International
338,Univar
339,Campbell Soup
340,Dick’s Sporting Goods
341,Weyerhaeuser
342,Mutual of Omaha Insurance
343,Chesapeake Energy
344,Anadarko Petroleum
345,Interpublic Group
346,J.M. Smucker
347,Steel Dynamics
348,Foot Locker
349,Western Refining
350,SpartanNash
351,Dean Foods
352,Zimmer Biomet Holdings
353,PulteGroup
354,W.R. Berkley
355,Quanta Services
356,EOG Resources
357,Charles Schwab
358,Eversource Energy
359,Anixter International
360,EMCOR Group
361,Assurant
362,CenterPoint Energy
363,Harris
364,HD Supply Holdings
365,PPL
366,Quest Diagnostics
367,Williams
368,WEC Energy Group
369,Hershey
370,AGCO
371,Ralph Lauren
372,Masco
373,WESCO International
374,LifePoint Health
375,National Oilwell Varco
376,Kindred Healthcare
377,Mosaic
378,Alliance Data Systems
379,Computer Sciences
380,Huntington Ingalls Industries
381,Leidos Holdings
382,Erie Insurance Group
383,Tesla
384,Ascena Retail Group
385,Darden Restaurants
386,Harman International Industries
387,Nvidia
388,R.R. Donnelley & Sons
389,Fifth Third Bancorp
390,Quintiles Transnational Holdings
391,Jones Lang LaSalle
392,Dover
393,Spirit AeroSystems Holdings
394,Ryder System
395,A-Mark Precious Metals
396,Tractor Supply
397,Sealed Air
398,Auto-Owners Insurance
399,Yum China Holdings
400,Calpine
401,Owens-Illinois
402,Targa Resources
403,JetBlue Airways
404,Jones Financial
405,Franklin Resources
406,Activision Blizzard
407,J.B. Hunt Transport Services
408,Constellation Brands
409,NCR
410,Asbury Automotive Group
411,American Financial Group
412,Discovery Communications
413,Berry Global Group
414,Sanmina
415,CalAtlantic Group
416,Dr Pepper Snapple Group
417,Dillard’s
418,HRG Group
419,CMS Energy
420,Graybar Electric
421,Builders FirstSource
422,Yum Brands
423,Casey’s General Stores
424,Amphenol
425,Oshkosh
426,iHeartMedia
427,TreeHouse Foods
428,Alleghany
429,Expeditors International of Washington
430,Avery Dennison
431,Ameren
432,Hanesbrands
433,Motorola Solutions
434,St. Jude Medical
435,Harley-Davidson
436,Regions Financial
437,Intercontinental Exchange
438,Alaska Air Group
439,Old Republic International
440,Lam Research
441,AK Steel Holding
442,Rockwell Automation
443,Adobe Systems
444,Avon Products
445,Terex
446,NVR
447,Dana Holding
448,Realogy Holdings
449,American Tower
450,Packaging Corp. of America
451,Citizens Financial Group
452,United Rentals
453,Clorox
454,Genesis Healthcare
455,M&T Bank Corp.
456,Ingredion
457,UGI
458,Owens Corning
459,S&P Global
460,Markel
461,Wyndham Worldwide
462,Arthur J. Gallagher
463,Burlington Stores
464,First American Financial
465,Symantec
466,Patterson
467,Olin
468,NetApp
469,Raymond James Financial
470,TravelCenters of America
471,Fiserv
472,Host Hotels & Resorts
473,Insight Enterprises
474,Mattel
475,AmTrust Financial Services
476,Cincinnati Financial
477,Simon Property Group
478,Western Union
479,KeyCorp
480,Delek US Holdings
481,Booz Allen Hamilton Holding
482,Chemours
483,Western & Southern Financial Group
484,Celanese
485,Windstream Holdings
486,Seaboard
487,Essendant
488,Apache
489,Airgas
490,Kelly Services
491,Liberty Media
492,Rockwell Collins
493,Robert Half International
494,CH2M Hill
495,Big Lots
496,Michaels Cos.
497,Toll Brothers
498,Yahoo
499,Vistra Energy
500,ABM Industries
